"stco","whc","sand","silt","clay","om","kwfactor","kffactor","spH","slope","tfactor"
30077,18.4438278052672,44.5103358134506,31.8700968679129,23.6195673186365,269.108843004823,0.206156427421162,0.274425450196356,7.69572846871587,79.3689478066007,4.08376437190412
30079,20.4121063816447,34.9023376910375,42.1783223623054,22.9193399466571,96.5830664748983,0.353916017018735,0.359948040097153,8.16579090139039,73.0807201656021,4.13641303763761
30081,13.8665715978295,64.1433922036847,25.0464102064667,10.8101975898486,206.249438411627,0.152284735200897,0.21215516737734,7.16631814806799,61.5665091767435,3.24686662367483
30083,23.1066590930307,30.5915307202988,41.9182175604997,27.4902517192015,126.673910838935,0.366036749308622,0.367899649047027,8.13050190841522,64.8008119301837,4.66513823763712
30085,24.0197487864101,36.4562818016529,36.0930785828747,27.4506396154724,142.715487123253,0.322487290248064,0.32502318747612,7.89298535380922,60.2479892546062,4.84374002969911
30087,20.2507615475907,27.7683314782994,44.9749924511917,27.2566760705088,85.1781562972262,0.391437246143714,0.394481307750858,8.16839785579531,68.2202418318754,4.11160629138417
30089,19.1942857183117,28.6842356403303,44.3206255701671,26.9951387895026,181.571284324013,0.359143439996207,0.384489100376962,7.85556375919455,73.1161443422116,3.57638681133217
30091,24.8240059150042,36.3041557059236,35.9405611592459,27.7552831348305,150.504516140305,0.310051183264629,0.310214011754557,7.93937631837414,67.260928298391,4.91965428434149
30093,16.4700584015371,62.5324772020973,22.620769314506,14.8467534833967,279.471042481065,0.155447298612374,0.205008821394009,7.4161051933335,127.812483359449,3.93165928890977
30095,15.5464569804246,31.6307435135028,39.029834333232,29.3394221532652,117.361951958557,0.298513087205127,0.328254054220318,7.76316434260056,49.9039422829717,3.40153116874023
30097,16.2436478246731,43.6180632442734,31.2958806079676,25.086056147759,127.718212031489,0.255056608599665,0.293463554730692,7.82835280431341,69.6718852584798,3.67051726207624
30099,21.1485037247783,32.5370622462425,35.3998396278141,32.0630981259434,115.485173293746,0.270327082568125,0.30906092331904,8.02978046360682,76.1608317098198,4.15575592093605
30101,23.3830131619255,33.697936381587,35.6575398734808,30.6445237449322,99.196397040306,0.327238023015788,0.329585799510817,8.01150810470133,77.6574885809292,4.75584372135757
30103,21.027388581775,40.9593000281517,32.6928289576258,26.3478710142225,112.400107808574,0.285687621625845,0.294233489481452,8.03202301503853,88.6732509697101,4.44274528455474
30105,22.2131733078453,39.2507348469916,30.9244327600713,29.8248323929371,114.281843819711,0.297503070311349,0.303344606303988,7.93816159322159,61.4532394711929,4.49149783794567
30107,15.8618941988727,49.1364109271162,28.8675119468964,21.9960771259875,103.661834080831,0.198848444390102,0.282848886867275,8.09234188660487,74.0915050711799,3.18185748946016
30109,19.5786341761824,27.1177227469128,47.3346234757193,25.5476537773679,128.721844610769,0.369521100500797,0.37113809306254,7.86288267482368,56.1277763650047,3.89244862632007
30111,16.7751875566251,34.9141316027383,33.6768044517626,31.4090639454991,98.7709495003214,0.285870199493478,0.303239130131887,8.00888292320379,71.2484213390342,3.69464882312753
31001,38.547070371571,13.1279416747817,62.200785141044,24.6712731841743,154.315223640049,0.454114864334223,0.454229582776955,7.31670637178944,69.4947966558343,4.81439246741455
31003,25.0030032610636,54.2989162805243,31.0156152327695,14.6854684867062,124.002982651513,0.248814279246928,0.248855871451081,6.92853028166416,62.0868873459418,4.90945217811281
31005,17.4282205324973,91.2369211837297,3.81102452480585,4.95205429146441,137.240317190851,0.0728672827168527,0.0728672827168527,6.87443257903652,52.195870979156,4.91644486646413
31007,23.0804095630149,53.5359551406052,31.8309682919488,14.633076567446,126.848156336194,0.409603333709913,0.417517321608142,7.67120023952571,71.7148418602807,4.45951107675681
31009,17.1301738481021,85.8795507425054,6.76300389795972,7.35744535953488,103.731216218527,0.128966606413031,0.129300886903138,6.7770100162929,67.0790825996533,4.98806098748484
