stco,year,gdd,edd
19089,1981,137.6,2.8
19091,1981,141.5,6.7
19093,1981,141.4,9.4
19095,1981,142.4,7.4
19097,1981,140.1,3.7
19099,1981,142.1,8.3
19101,1981,143.4,10.5
19103,1981,143.5,6.9
19105,1981,141.4,4.2
19107,1981,143.4,9.0
19109,1981,141.3,6.4
19111,1981,145.1,8.5
19113,1981,141.8,5.2
19115,1981,144.2,7.9
19117,1981,143.8,9.0
19119,1981,137.5,11.2
19121,1981,142.7,9.6
19123,1981,143.2,9.2
19125,1981,143.0,9.7
19127,1981,141.0,7.0
19129,1981,139.5,17.7
19131,1981,139.4,4.7
19133,1981,139.8,14.9
19135,1981,144.1,8.5
19137,1981,139.7,14.8
19139,1981,143.5,6.9
19141,1981,139.5,8.7
19143,1981,139.2,6.9
19145,1981,140.7,15.0
19147,1981,140.5,7.2
19149,1981,139.5,11.8
19151,1981,140.6,7.8
19153,1981,142.0,9.4
19155,1981,140.5,14.8
19157,1981,140.4,8.5
19159,1981,143.0,10.7
19161,1981,141.0,8.2
19163,1981,142.4,5.1
19165,1981,141.8,11.2
19167,1981,139.0,11.2
19169,1981,141.5,7.4
19171,1981,140.7,7.0
19173,1981,141.2,12.6
19175,1981,143.0,9.8
19177,1981,143.5,10.9
19179,1981,143.8,9.8
19181,1981,143.1,9.6
19183,1981,143.6,8.9
19185,1981,144.5,8.2
19187,1981,140.9,8.1
19189,1981,141.0,5.6
19191,1981,138.9,3.2
19193,1981,140.4,12.5
19195,1981,140.2,5.3
19197,1981,140.3,6.9
20001,1981,138.4,27.2
20003,1981,140.6,24.3
20005,1981,141.3,20.8
20007,1981,123.7,43.5
20009,1981,131.6,31.4
20011,1981,138.7,26.9
20013,1981,140.1,20.2
20015,1981,134.3,30.2
20017,1981,139.5,23.8
20019,1981,130.8,36.1
20021,1981,138.4,28.3
20023,1981,126.5,23.6
20025,1981,121.7,42.7
20027,1981,136.7,25.9
20029,1981,136.9,23.9
20031,1981,142.4,21.7
20033,1981,122.5,44.1
20035,1981,129.9,36.9
20037,1981,137.6,28.7
20039,1981,128.3,24.6
20041,1981,136.3,26.9
20043,1981,142.3,18.2
20045,1981,144.4,18.8
20047,1981,127.8,35.3
20049,1981,133.4,31.9
20051,1981,130.0,30.5
20053,1981,134.8,27.9
20055,1981,125.9,32.5
20057,1981,126.1,35.4
20059,1981,142.6,21.7
20061,1981,139.9,22.1
20063,1981,128.1,28.3
20065,1981,129.6,27.4
20067,1981,121.4,38.8
20069,1981,126.2,33.4
20071,1981,124.8,29.6
20073,1981,137.1,26.9
20075,1981,123.2,34.5
20077,1981,125.7,41.5
20079,1981,134.8,29.2
20081,1981,123.9,36.4
20083,1981,126.7,34.5
20085,1981,141.4,20.5
20087,1981,142.4,20.7
20089,1981,135.7,21.6
20091,1981,145.0,18.3
20093,1981,123.5,34.1
20095,1981,128.3,37.2
20097,1981,127.8,35.4
20099,1981,136.5,29.8
20101,1981,127.1,30.9
20103,1981,143.2,19.6
20105,1981,132.4,30.0
20107,1981,141.9,22.7
20109,1981,126.3,28.4
20111,1981,142.5,21.2
20113,1981,134.9,28.7
20115,1981,136.9,26.2
20117,1981,139.5,20.5
20119,1981,121.9,41.0
20121,1981,144.1,19.6
20123,1981,134.8,25.7
20125,1981,132.5,34.1
20127,1981,141.2,21.5
20129,1981,120.6,40.4
20131,1981,140.1,19.9
20133,1981,136.6,29.2
20135,1981,127.4,32.5
20137,1981,129.8,24.8
20139,1981,143.9,19.8
20141,1981,132.7,27.4
20143,1981,133.6,29.7
20145,1981,129.3,33.4
20147,1981,130.7,26.0
20149,1981,140.6,21.0
20151,1981,129.1,35.2
20153,1981,126.6,24.7
20155,1981,132.2,32.2
20157,1981,136.8,22.1
20159,1981,134.5,29.2
20161,1981,139.5,22.2
20163,1981,130.4,28.5
20165,1981,128.9,32.4
20167,1981,132.0,30.4
20169,1981,134.1,29.7
20171,1981,126.0,30.8
20173,1981,131.6,33.5
20175,1981,121.2,41.9
20177,1981,143.0,20.3
20179,1981,128.8,25.8
20181,1981,127.1,23.3
20183,1981,132.8,24.7
20185,1981,129.8,34.4
20187,1981,121.5,39.1
20189,1981,121.2,41.0
20191,1981,127.4,39.2
20193,1981,127.1,25.0
20195,1981,129.2,29.0
20197,1981,142.9,19.7
20199,1981,125.9,27.2
20201,1981,136.6,24.2
20203,1981,125.5,29.7
20205,1981,134.7,30.9
20207,1981,138.9,26.0
20209,1981,142.8,20.8
21001,1981,139.6,18.9
21003,1981,140.0,20.5
21005,1981,140.4,14.1
21007,1981,137.4,26.4
21009,1981,137.4,22.4
21011,1981,139.7,14.4
21013,1981,143.8,10.8
21015,1981,141.8,10.8
21017,1981,140.3,13.8
21019,1981,136.9,15.0
21021,1981,142.0,13.5
21023,1981,140.9,11.9
21025,1981,136.6,18.8
21027,1981,139.7,17.6
21029,1981,137.4,20.8
21031,1981,140.1,18.6
21033,1981,136.6,26.9
21035,1981,138.1,26.3
21037,1981,141.1,11.8
21039,1981,136.4,27.8
21041,1981,140.6,13.1
21043,1981,139.1,12.0
21045,1981,142.8,13.9
21047,1981,138.3,23.0
21049,1981,141.7,13.5
21051,1981,142.7,10.9
21053,1981,142.7,16.1
21055,1981,137.7,26.0
21057,1981,137.5,21.6
21059,1981,136.3,22.9
21061,1981,138.6,19.8
21063,1981,137.6,13.9
21065,1981,141.6,12.6
21067,1981,142.5,12.6
21069,1981,140.8,12.5
21071,1981,136.2,18.2
21073,1981,140.5,13.5
21075,1981,135.1,29.6
21077,1981,141.1,12.1
21079,1981,141.6,14.3
