stco,year,soil_jul,vpd_jul,pr_jul,tmmx_jul
20119,1981,33.221,198.884,86.513,343.221
20125,1981,168.283,166.116,70.677,341.407
20057,1981,38.432,185.128,103.923,334.09
20111,1981,422.394,136.191,132.895,320.396
20055,1981,28.066,186.467,100.703,334.396
20093,1981,25.458,196.23,76.967,338.527
20009,1981,57.188,166.278,117.968,327.42
20051,1981,45.753,157.301,127.097,323.206
20155,1981,43.939,178.73,93.736,335.024
20175,1981,32.809,201.307,84.741,343.182
20113,1981,123.466,161.876,101.02,327.175
20099,1981,153.488,155.373,68.128,335.2
20037,1981,389.474,146.473,68.071,327.995
20143,1981,149.409,152.086,140.16,323.417
20169,1981,135.319,156.616,118.216,325.625
20139,1981,710.173,126.634,138.926,315.658
20177,1981,845.056,120.911,151.898,311.744
20197,1981,484.831,123.905,141.687,312.471
20085,1981,538.616,119.0,153.386,311.626
20087,1981,1067.035,116.955,171.352,310.598
20005,1981,772.576,115.933,169.0,311.671
20091,1981,902.236,116.255,160.657,308.227
20121,1981,584.06,123.556,130.033,314.937
20107,1981,403.88,133.662,100.021,321.66
20103,1981,1034.131,117.713,178.671,311.916
20045,1981,916.719,120.867,164.344,312.15
20059,1981,623.751,126.713,138.873,316.69
20043,1981,476.538,111.165,164.768,309.239
20061,1981,260.838,132.541,145.806,313.899
20161,1981,234.805,130.431,158.49,314.006
20149,1981,300.38,124.05,155.649,311.824
27073,1981,139.483,104.973,105.194,290.291
27153,1981,447.603,87.644,86.827,270.276
27001,1981,1094.812,75.839,82.169,259.475
27057,1981,899.967,76.361,105.368,258.615
27063,1981,142.122,86.662,117.407,282.109
27121,1981,116.755,92.544,85.305,275.278
27133,1981,150.267,97.732,111.565,288.525
27161,1981,257.588,86.223,137.977,278.292
27033,1981,130.144,91.478,115.212,283.618
27071,1981,511.779,84.637,71.271,262.558
27165,1981,133.23,90.113,121.11,284.722
27005,1981,474.292,80.844,113.229,262.935
27107,1981,184.702,100.723,98.419,278.498
27089,1981,259.517,81.501,54.93,266.869
27093,1981,234.507,100.064,85.928,282.084
27065,1981,1008.658,77.373,75.464,265.366
27077,1981,512.777,79.727,68.264,259.731
27081,1981,130.866,101.077,103.874,284.162
27075,1981,457.533,68.866,66.377,235.926
27101,1981,149.642,93.979,109.834,282.577
27159,1981,642.514,78.458,99.152,262.893
27113,1981,313.14,91.945,76.801,272.474
27155,1981,92.956,102.553,95.344,285.875
27173,1981,154.976,103.399,104.424,288.202
27151,1981,92.325,93.9,92.367,279.693
27125,1981,286.773,94.178,91.157,274.41
27029,1981,693.32,76.121,109.379,258.763
27011,1981,111.756,103.408,98.763,287.114
27127,1981,128.493,97.894,105.494,285.893
27135,1981,416.848,72.819,57.976,259.646
27031,1981,398.046,55.618,50.807,225.92
27051,1981,139.609,91.545,97.05,276.279
27023,1981,125.522,98.76,93.745,283.691
27043,1981,279.21,87.23,136.841,281.423
27115,1981,975.418,76.849,73.152,263.454
27099,1981,789.184,80.426,166.737,272.54
27045,1981,880.581,79.844,152.756,272.347
27039,1981,735.962,81.233,156.223,273.486
27109,1981,937.204,81.927,161.882,273.186
27157,1981,743.162,84.75,150.183,275.204
27013,1981,194.35,89.242,129.808,282.689
27103,1981,155.576,93.498,119.075,283.593
27015,1981,137.288,93.8,114.985,285.297
27131,1981,294.617,87.261,133.699,277.72
